Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:017PF4Q3l4DBUiWoXk4OWT,"Break My Heart","Future Nostalgia","Dua Lipa",2020-03-27,221820,81,false,791qjlx1xymqu60b4wrzoncpw,2021-09-21T11:52:59Z,"流行樂","Warner Records",0.73,0.729,4,-3.434,0,0.0884,0.167,0.00000139,0.349,0.467,113.011,4
spotify:track:0bMbDctzMmTyK2j74j3nF3,"Alone, Pt. II","Alone, Pt. II","Alan Walker;Ava Max",2019-12-27,179052,71,false,791qjlx1xymqu60b4wrzoncpw,2021-09-21T11:53:01Z,"","Kreatell Music",0.67,0.668,3,-4.306,0,0.0422,0.536,0,0.133,0.608,88.033,4
spotify:track:3Uo7WG0vmLQ07WB4BDwy7D,"willow","evermore","Taylor Swift",2020-12-10,214706,69,false,791qjlx1xymqu60b4wrzoncpw,2021-09-21T11:53:04Z,"","Taylor Swift",0.392,0.579,7,-9.195,1,0.164,0.835,0.00179,0.145,0.549,80.961,4
spotify:track:5iTaLzgPI5jRMVAxITcZwT,"Easier – Remix (with Charlie Puth)","Easier – Remix (with Charlie Puth)","5 Seconds of Summer;Charlie Puth",2019-08-13,157325,53,false,791qjlx1xymqu60b4wrzoncpw,2021-09-21T11:53:51Z,"軟式流行樂","5 Seconds Of Summer/Interscope",0.418,0.445,5,-5.407,1,0.227,0.469,0,0.123,0.608,175.686,4
spotify:track:698ItKASDavgwZ3WjaWjtz,"Faded","Different World","Alan Walker",2018-12-14,212106,84,false,791qjlx1xymqu60b4wrzoncpw,2021-09-21T11:53:53Z,"","Kreatell Music",0.468,0.627,6,-5.085,1,0.0476,0.0281,0.00000797,0.11,0.159,179.642,4
spotify:track:37f4ITSlgPX81ad2EvmVQr,"Fight Song","Wildfire","Rachel Platten",2016-01-01,204013,75,false,791qjlx1xymqu60b4wrzoncpw,2021-09-21T11:53:55Z,"","Columbia",0.564,0.714,7,-4.987,1,0.129,0.0549,0,0.155,0.33,175.924,4
spotify:track:7fa9MBXhVfQ8P8Df9OEbD8,"Girls Like You (feat. Cardi B) - Cardi B Version","Red Pill Blues (Deluxe)","Maroon 5;Cardi B",2018-06-15,235545,76,true,791qjlx1xymqu60b4wrzoncpw,2021-09-21T11:53:57Z,"流行樂","Interscope Records*",0.779,0.541,0,-6.824,1,0.0658,0.566,0,0.13,0.447,124.939,4
spotify:track:76cy1WJvNGJTj78UqeA5zr,"IDGAF","Dua Lipa (Deluxe)","Dua Lipa",2017-06-02,217946,78,true,791qjlx1xymqu60b4wrzoncpw,2021-09-21T11:53:59Z,"流行樂","Warner Records",0.836,0.544,7,-5.975,1,0.0943,0.0403,0,0.0824,0.51,97.028,4
spotify:track:6yIdwnpDHufLWgQcveTPMk,"I Don’t Wanna Live Forever (Fifty Shades Darker)","I Don’t Wanna Live Forever (Fifty Shades Darker)","ZAYN;Taylor Swift",2016-12-09,245200,0,false,791qjlx1xymqu60b4wrzoncpw,2021-09-21T11:54:01Z,"","Fifty Shades Darker",0.735,0.451,0,-8.374,1,0.0585,0.0631,0.000013,0.325,0.0862,117.973,4
spotify:track:2bT1PH7Cw3J9p3t7nlXCdh,"If I Can't Have You","Shawn Mendes (Deluxe)","Shawn Mendes",2019-06-19,191466,75,false,791qjlx1xymqu60b4wrzoncpw,2021-09-21T11:54:31Z,"","Island Records",0.691,0.823,2,-4.197,1,0.0622,0.489,0,0.134,0.87,123.943,4
