Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,language,primary_genre,mbti_personality
spotify:track:7uoMF8aYcagKbt5m5wi4MH,年輪說,年輪說,楊丞琳,2016-09-30,266453,55,false,,2023-09-21T15:50:00Z,"華語流行,台灣流行樂,華語流行樂","Tian Di He Entertainment Co., Ltd",0.463,0.368,4,-9.821,1,0.05,0.768,0,0.115,0.312,147.619,4,Chinese,Mandopop,INFP
spotify:track:49AQAXswd32dFJUWOegVWO,Last Dance,愛情的盡頭,伍佰,1996-06-18,271533,58,false,,2023-09-21T15:50:00Z,"華語搖滾樂,台灣流行樂,華語流行,華語獨立音樂,台灣獨立音樂,華語流行樂","Rock Records Co., Ltd.",0.463,0.62,6,-7.27,0,0.0289,0.0158,0.00000126,0.195,0.492,151.311,4,English,Mandopop,ENTP
spotify:track:4cDVX9pSt4UQEVbbXKodW6,飞鸟和蝉,Ren然,任然,2025-11-25,296006,65,false,,2023-09-21T15:50:00Z,"華語流行,華語流行樂,古風歌曲,華語節奏藍調,台灣流行樂",北京千和世纪文化传播有限公司,0.565,0.563,10,-6.742,1,0.0496,0.741,0,0.226,0.319,147.905,4,Chinese,Mandopop,INFJ
spotify:track:4nyO1azSuhT5JrETvzEahs,你啊你啊 - 電視劇「用九柑仔店」插曲,末路狂花,魏如萱,2016-11-25,324359,54,false,,2023-09-21T15:50:00Z,"台灣獨立音樂,華語獨立音樂,台灣流行樂,華語流行,華語流行樂,華語節奏藍調",Mr.Wing Creative,0.584,0.186,9,-12.512,1,0.037,0.904,0,0.0929,0.178,123.663,4,Chinese,Mandopop,ISTP
spotify:track:3O0TfMcoeKC0u035clU5nX,小情歌（蘇打綠版）,小宇宙（蘇打綠版）,蘇打綠,2022-02-17,276626,48,false,,2023-09-22T11:30:54Z,"華語流行,台灣流行樂,華語流行樂,台灣獨立音樂,華語搖滾樂",Universal Music Taiwan,0.535,0.493,2,-7.846,1,0.0307,0.654,0,0.0673,0.262,131.987,4,Chinese,Mandopop,ISTP
spotify:track:5Sib99jpYybZAicUMETb3h,演员,初学者,薛之謙,2016-07-18,261249,68,false,,2023-09-21T15:50:00Z,"華語流行,華語流行樂,台灣流行樂,華語節奏藍調",潮石音乐,0.702,0.434,11,-10.675,1,0.0303,0.417,0.00000818,0.112,0.183,91.618,4,Chinese,Mandopop,ISTP
spotify:track:0FIRHGE4loKAH5o5ByiqG0,你是不是有點動心,1:28,吳卓源,2017-09-07,268350,47,false,,2023-09-21T15:50:00Z,"華語節奏藍調,華語嘻哈樂,台灣獨立音樂,華語流行,台灣流行樂,華語獨立音樂,華語流行樂",ChynaHouse Digital Co. Ltd,0.591,0.349,3,-9.082,1,0.0363,0.634,0,0.111,0.323,131.927,3,Chinese,Mandopop,INFP
spotify:track:79LVKCDq5n3N2k6dtWP4gP,慢慢喜歡你,我們在中場相遇,莫文蔚,2018-05-31,221447,62,false,,2023-09-21T15:50:00Z,"華語流行,華語流行樂,台灣流行樂,粵語流行樂",Mok-A-Bye Baby Music Limited,0.621,0.309,7,-10.255,1,0.0368,0.877,0.0000254,0.364,0.375,129.759,4,Chinese,Mandopop,INFP
spotify:track:2VEt42QSQxILgEf9B50xxm,不是因為天氣晴朗才愛你,不是因為天氣晴朗才愛你,理想混蛋,2018-08-06,240753,64,false,,2023-09-21T15:50:00Z,"華語流行,台灣獨立音樂,台灣流行樂,華語獨立音樂,華語流行樂",何樂音樂有限公司,0.507,0.271,8,-13.185,1,0.0347,0.753,0.00000123,0.0883,0.399,135.783,4,Chinese,Mandopop,INFP
spotify:track:69zgyr5HVKdInjeKpq1qHa,想見你想見你想見你 - 電視劇《想見你》片尾曲,想見你想見你想見你 (電視劇《想見你》片尾曲),八三夭,2019-11-11,239794,65,false,,2023-09-21T15:50:00Z,"華語流行,台灣流行樂,華語流行樂,華語搖滾樂","Rock Records Co., Ltd.",0.547,0.666,6,-5.694,1,0.0393,0.4,0,0.144,0.43,129.814,4,Chinese,Mandopop,ISTP
