Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5rfABuYyz0m1IEvLZ52aqv,"Diamonds","Diamonds","Edward Maya;Yohani",2024-03-22,128640,0,false,316b4f64ay46nb3vgvmu24fcsrxy,2026-03-14T20:28:22Z,"印度流行樂,寶萊塢,德西音樂","Creator Records",0.747,0.958,2,-4.397,0,0.0903,0.00505,0.00673,0.22,0.0767,125.062,4
spotify:track:4CPuDVC8jhhK6lA2DIt8Cf,"Born Again (feat. Doja Cat & RAYE)","Born Again (feat. Doja Cat & RAYE)","LISA;Doja Cat;RAYE",2025-02-06,231174,72,true,316b4f64ay46nb3vgvmu24fcsrxy,2025-02-15T20:36:37Z,"韓國流行樂","Lloud Co./RCA Records",0.687,0.777,1,-4.704,1,0.0411,0.0686,0,0.0828,0.374,115.01,4
spotify:track:4QvdQaaVVxFcAB9CTaA9Hl,"You & Me","JENNIE Special Single [You & Me]","JENNIE",2023-10-06,179164,0,false,316b4f64ay46nb3vgvmu24fcsrxy,2024-01-15T00:30:06Z,"韓國流行樂","YG Entertainment",0.788,0.572,9,-6.227,1,0.0563,0.015,0.0000214,0.119,0.556,111.996,4
spotify:track:351KkakA2YtGEXqSEIIasy,"Supernova","Supernova","aespa",2024-05-13,178880,2,false,316b4f64ay46nb3vgvmu24fcsrxy,2024-07-12T22:19:22Z,"韓國流行樂","SM Entertainment",0.744,0.747,11,-4.281,0,0.0824,0.00691,0.00000203,0.0739,0.368,120.077,4
spotify:track:3AOf6YEpxQ894FmrwI9k96,"Super","SEVENTEEN 10th Mini Album 'FML'","SEVENTEEN",2023-04-24,200386,71,false,316b4f64ay46nb3vgvmu24fcsrxy,2026-03-26T10:37:41Z,"韓國流行樂","PLEDIS Entertainment",0.771,0.88,8,-4.091,1,0.0857,0.162,0.00000141,0.167,0.347,137.018,4
spotify:track:0QICKhP44TRnb4EurQ3tN9,"BILLIONAIRE","DRIP","BABYMONSTER",2024-11-01,157179,71,false,316b4f64ay46nb3vgvmu24fcsrxy,2025-02-15T20:36:37Z,"韓國流行樂","YG Entertainment",0.951,0.632,5,-5.029,0,0.0839,0.226,0.00000366,0.103,0.695,104.961,4
spotify:track:5sjnkOfTLCLNfkkchI2re2,"UP - KARINA Solo","SYNK : PARALLEL LINE - Special Digital Single","aespa",2024-10-09,166640,74,false,316b4f64ay46nb3vgvmu24fcsrxy,2026-03-26T10:37:41Z,"韓國流行樂","SM Entertainment",0.777,0.781,6,-4.479,0,0.043,0.0137,0.00000277,0.0466,0.382,98.97,4
spotify:track:6i8MbzVn4nzyjUcSoVcz7B,"Armageddon","Armageddon - The 1st Album","aespa",2024-05-27,196466,3,false,316b4f64ay46nb3vgvmu24fcsrxy,2026-04-14T08:44:36Z,"韓國流行樂","SM Entertainment",0.695,0.789,9,-2.05,1,0.0671,0.0651,0.00000139,0.168,0.469,91.991,4
spotify:track:0aZG8KWrpRnsGL0loUkfSj,"plot twist","TWS 1st Mini Album 'Sparkling Blue'","TWS",2024-01-22,152400,70,false,316b4f64ay46nb3vgvmu24fcsrxy,2026-02-28T20:02:22Z,"韓國流行樂","PLEDIS Entertainment",0.808,0.71,5,-4.798,1,0.0752,0.0102,0,0.144,0.73,112.066,4
spotify:track:7ov3TDp5D00Rnu5R1viX4w,"New Woman (feat. ROSALÍA)","New Woman (feat. ROSALÍA)","LISA;ROSALÍA",2024-08-15,179789,71,true,316b4f64ay46nb3vgvmu24fcsrxy,2026-04-14T08:44:36Z,"韓國流行樂","Lloud Co./RCA Records",0.477,0.854,7,-4.715,1,0.275,0.0858,0,0.065,0.314,140.515,5
