spotify_id,name,artist,valence,energy,danceability,tempo,acousticness,lang
69zgyr5HVKdInjeKpq1qHa,"想見你想見你想見你 - 電視劇《想見你》片尾曲","八三夭",0.43,0.666,0.547,129.814,0.4,zh
3CEkc8f1UDvI7kohz3ARpA,"炙愛 - 女聲版","陳忻玥",0.324,0.505,0.463,75.887,0.26,zh
4xNDbq22jC2Vdf6QV2uArL,"當你","王心凌",0.208,0.646,0.638,135.98,0.661,zh
4M7VP5IiIj1saXNFINmxt3,"SPOTLIGHT","頑童Mj116",0.234,0.729,0.732,100.037,0.186,zh
25sQT3yCEgd1uE6LC9ivcs,"Forever Young","艾怡良",0.323,0.226,0.304,139.593,0.929,zh
4mDGkFRAqaYosoyWUI7QzM,"在沒有你以後 (feat. 張智成)","謝和弦;張智成",0.521,0.761,0.517,131.985,0.294,zh
2LoGv4HSbilp1SVoQ10Qw6,"Black Out (feat. 9m88)","ØZI;9m88",0.794,0.559,0.772,100.056,0.556,zh
5cN75zXR3M4si2toC2eF5C,"我真的受傷了","張學友",0.371,0.0762,0.603,72.917,0.906,zh
122XVqEGBM36Lp0XNvsgTV,"恆溫","孫盛希",0.27,0.373,0.693,129.974,0.455,zh
69AvckyixY1AIGRYDZ1QnO,"我很好騙","動力火車",0.201,0.502,0.471,148.009,0.285,zh
1ZSleGniKMWNrWvK5cGALO,"路過人間 (電視劇《我們與惡的距離》插曲)","郁可唯",0.148,0.386,0.615,129.925,0.825,zh
4oELKeBS6hWwN3CTuN6acA,"末班車","蕭煌奇",0.162,0.332,0.483,113.855,0.72,zh
3HH9pAwNfQVXYVUbmHxWwn,"你不知道的事","王力宏",0.303,0.288,0.488,86.993,0.47,zh
0kcYzEvagMWsp9wL6RxW90,"旅行的意義","陳綺貞",0.25,0.516,0.525,137.972,0.38,zh
0Q4YuuiCuxIIKUw2fb1cmV,"我們的愛","飛兒樂團",0.135,0.646,0.509,136.054,0.502,zh
2ek6tL3UTd89rWtSv3gHje,"來個蹦蹦","玖壹壹;陳嘉樺",0.659,0.87,0.829,116.006,0.133,zh
13bw75oRjvxMv9VGIeM32i,"愛我還是他","陶喆",0.152,0.391,0.465,133.025,0.758,zh
4JrGpUQothsSVR6iBhR9NC,"飄向北方","黃明志;王力宏",0.279,0.778,0.5,173.906,0.387,zh
2DZLyqxPBCziw1YJOWPCjQ,"長途夜車","滅火器",0.274,0.567,0.36,102.966,0.0894,zh
5FGzM47D9MUa0y7qb2D0Ix,"猜不透","丁噹",0.182,0.455,0.565,139.956,0.56,zh
5vL8cgLYwcoQND7z1m2iRN,"和平分手","梁文音;蕭煌奇",0.342,0.396,0.464,140.744,0.697,zh
3jdy4aOla1dwYIqwp69JJN,"愛上你算我賤","周湯豪",0.353,0.738,0.478,163.994,0.00432,zh
6439IQyiZV5I7aOo8UREgm,"擋一根","美秀集團",0.43,0.8,0.518,76.064,0.0799,zh
2qkJkRmcgpdVhdEhz3GcFX,"十七","S.H.E",0.374,0.563,0.47,149.881,0.137,zh
2Ub5ZGPsej0A6YpvzhntLL,"輸情歌","J.Sheon",0.557,0.327,0.633,149.959,0.784,zh
5l94Up12BJSjhH7Mhr2ji4,"紅豆","王菲",0.17,0.408,0.554,111.821,0.27,zh
0VUORVhLmsxKTSwg4P9CrB,"山海","草東沒有派對",0.306,0.676,0.561,160.044,0.0543,zh
6yh3aP8HuImur7v8p1P8fz,"起風了 (電視劇《加油, 你是最棒的》主題曲)","吳青峰",0.502,0.396,0.549,73.986,0.487,zh
5oSEjCvds0BrkQ2dVDHRpF,"所謂的愛","小宇 宋念宇",0.248,0.613,0.447,75.922,0.517,zh
3kcnCi8MfkMqFKeznqEEOE,"遺失的美好","張韶涵",0.209,0.335,0.619,99.824,0.862,zh
0bIbgooxvBkww2ZGeu8VMR,"天黑請閉眼","陳零九;邱鋒澤 Feng Ze",0.425,0.731,0.534,169.928,0.28,zh
6mO5fCJKvB9tr5RAFvBO7z,"家家酒","家家",0.181,0.543,0.552,132.103,0.421,zh
2fc2vUA5H3mTAr9rQoBDKt,"愛我別走","張震嶽",0.684,0.356,0.646,90.079,0.552,zh
0mDynC7lAwQyeXevpyDwhV,"夢中的情話","江蕙;阿杜",0.255,0.468,0.558,123.985,0.314,zh
13tJ9Mkj7cjXxrTjOh0LAN,"關於小熊","蛋堡",0.769,0.371,0.918,92.983,0.591,zh
53yiHIP3ptxWtT4ambRcgb,"終究還是因為愛","TRASH",0.182,0.8,0.552,126.027,0.0253,zh
1kzo6QoYHW2Uf2Ccyb5y8i,"如果我們還在一起","宇宙人",0.292,0.636,0.69,172.064,0.389,zh
3TYzES2lL8BTPE4uudj0Hj,"不得不愛","潘瑋柏;弦子",0.438,0.484,0.719,79.995,0.751,zh
59lBAMCis4C6NsPdUV35Vz,"愛愛愛","方大同",0.346,0.459,0.473,66.37,0.4,zh
1M5MN2PnMtf7YhnqukD4xa,"街角的祝福","戴佩妮",0.398,0.353,0.648,95.997,0.923,zh
4bDJJr7yG31MApWuvEasAo,"有些","颜人中",0.368,0.534,0.683,126.023,0.75,zh
0n7Ij8XEDfYYFRgBQjNjnf,"愛你","陳芳語",0.142,0.52,0.551,144.024,0.332,zh
6TBpC71F18s4B6VkW6Qrv3,"體面","于文文",0.205,0.465,0.356,169.852,0.421,zh
0fQla3BOmDbwE7e6I78LbZ,"錯的人","蕭亞軒",0.239,0.511,0.511,127.826,0.76,zh
4M8aT4P3AlJUGQ4DqaXJpV,"我不是饒舌歌手","Marz23",0.186,0.658,0.579,80.013,0.0429,zh
